Email
"Exemplo.1@lgmail.com,"
"Exemplo.2@lgmail.com,"
"Exemplo.3@lgmail.com,"
"Exemplo.4@lgmail.com,"
"Exemplo.5@lgmail.com,"
"Exemplo.6@lgmail.com,"
"Exemplo.7@lgmail.com,"
"Exemplo.8@lgmail.com,"
"Exemplo.9@lgmail.com,"
"Exemplo.10@lgmail.com,"
"Exemplo.11@lgmail.com,"
"Exemplo.12@lgmail.com,"
"Exemplo.13@lgmail.com,"
"Exemplo.14@lgmail.com,"
"Exemplo.15@lgmail.com,"
"Exemplo.16@lgmail.com,"
"Exemplo.17@lgmail.com,"
"Exemplo.18@lgmail.com,"
"Exemplo.19@lgmail.com,"
"Exemplo.20@lgmail.com,"
"Exemplo.21@lgmail.com,"
"Exemplo.22@lgmail.com,"
"Exemplo.23@lgmail.com,"
"Exemplo.24@lgmail.com,"
"Exemplo.25@lgmail.com,"
"Exemplo.26@lgmail.com,"
"Exemplo.27@lgmail.com,"
"Exemplo.28@lgmail.com,"
"Exemplo.29@lgmail.com,"
Exemplo.30@lgmail.com
